Survey Response ID,Answer ID,Question Type,Question Text,Answer Value,Input Type
18532,503946,title,Title for your review:,G2 helps market and customer validity,text_field
18532,503947,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,9.0,slider_nps
18532,503948,love,What do you like best about G2 Marketing Solutions?,G2 has helped our customers publicly validate us to prospects and has helped us build pipeline and be considered for opportunities where we likely would not have been found otherwise. Also it has aided as a great validation point for customers in meetings and demo's as to our market profile and position.  It has helped us need less reference calls and enabled our customers to have a more open and valid place to voice their opinion on us.,comment
18532,503949,hate,What do you dislike about G2 Marketing Solutions?,Not a lot to dislike.  Be great as G2 becomes more recognised by a wider audience and gives the Gartners a run for their money. ,comment
18532,503950,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
18532,503951,experience,What is your level of experience with G2 Marketing Solutions?,Ongoing client relationship,dropdown
18532,503952,firm_role,What is your primary role when working with this service provider?,Client Partner,dropdown
18532,503953,access_to_peer_network,Access to Peer Network,7.0,simple_7
18532,503954,technology_decisions,Value in Making Technology Decisions,7.0,simple_7
18532,503955,quality_of_content,Quality of Content,7.0,simple_7
67896,1920231,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,9.0,slider_nps
67896,1920232,love,What do you like best about G2 Marketing Solutions?,"It showcases a wide range of vendors with unbiased and helpful reviews for evaluating solutions within your organization. This helps companies accelerate their marketing efforts and sales cycles when shared effectively. 

The smart grid is also a really great way to show how your company is perceived in the market place.

Quarterly reports are very detailed and are helpful overviews for companies trying to evaluate vendors. ",comment
67896,1920233,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
67896,1920234,company_size,What was your organization size when working with G2 Marketing Solutions?,201-500 employees,dropdown
67896,1920235,industry,What is your industry when using this product?,Computer Software,dropdown
67896,1920242,hate,What do you dislike about G2 Marketing Solutions?,"There aren't enough people open to reviewing products without an incentive. I still think that reviewers are honest and unbiased, but the volume is still much lower than you'd expect. 

It is costly, but we saw an ROI within weeks of launching our paid subscription with closing a relatively large deal through a lead that came in via G2Crowd. ",comment
67896,1920243,firm_role,What is your primary role when working with this service provider?,Project Manager,dropdown
67896,1920244,experience,What is your level of experience with G2 Marketing Solutions?,Worked with them 2-4 times,dropdown
67896,1920245,breadth_of_research,Breadth of Research,6.0,simple_7
