SurveyID,Answer ID,Questiontype,Questions,Answers,Inputtype
18532,503947,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,9.0,slider_nps
18532,503948,love,What do you like best about G2 Marketing Solutions?,G2 has helped our customers publicly validate us to prospects and has helped us build pipeline and be considered for opportunities where we likely would not have been found otherwise. Also it has aided as a great validation point for customers in meetings and demo's as to our market profile and position.  It has helped us need less reference calls and enabled our customers to have a more open and valid place to voice their opinion on us.,comment
18532,503949,hate,What do you dislike about G2 Marketing Solutions?,Not a lot to dislike.  Be great as G2 becomes more recognised by a wider audience and gives the Gartners a run for their money. ,comment
18532,503950,categories,For which purposes do you use G2 Marketing Solutions?,['Buyer Intent Data Providers'],categories
18532,503951,experience,What is your level of experience with G2 Marketing Solutions?,Ongoing client relationship,dropdown
18532,503952,firm_role,What is your primary role when working with this service provider?,Client Partner,dropdown
18532,503953,access_to_peer_network,Access to Peer Network,7.0,simple_7
18532,503954,technology_decisions,Value in Making Technology Decisions,7.0,simple_7
18532,503955,quality_of_content,Quality of Content,7.0,simple_7
67896,1920232,love,What do you like best about G2 Marketing Solutions?,"It showcases a wide range of vendors with unbiased and helpful reviews for evaluating solutions within your organization. This helps companies accelerate their marketing efforts and sales cycles when shared effectively. 

The smart grid is also a really great way to show how your company is perceived in the market place.

Quarterly reports are very detailed and are helpful overviews for companies trying to evaluate vendors. ",comment
67896,1920234,company_size,What was your organization size when working with G2 Marketing Solutions?,201-500 employees,dropdown
67896,1920235,industry,What is your industry when using this product?,Computer Software,dropdown
67896,1920242,hate,What do you dislike about G2 Marketing Solutions?,"There aren't enough people open to reviewing products without an incentive. I still think that reviewers are honest and unbiased, but the volume is still much lower than you'd expect. 

It is costly, but we saw an ROI within weeks of launching our paid subscription with closing a relatively large deal through a lead that came in via G2Crowd. ",comment
67896,1920243,firm_role,What is your primary role when working with this service provider?,Project Manager,dropdown
67896,1920244,experience,What is your level of experience with G2 Marketing Solutions?,Worked with them 2-4 times,dropdown
67896,1920245,breadth_of_research,Breadth of Research,6.0,simple_7
67896,1920246,quality_of_content,Quality of Content,6.0,simple_7
177131,4482733,love,What do you like best about G2 Marketing Solutions?,"Great way to build our brand in a new space, by leveraging user success. Also, Alex Pike did a great job of helping us understand the value of the platform when we first started.",comment
177131,4482735,company_size,What was your organization size when working with G2 Marketing Solutions?,2-10 employees,dropdown
177131,4482793,hate,What do you dislike about G2 Marketing Solutions?,"So far so good, we are just starting to use additional features like the LinkedIn integration so can't evaluate that yet",comment
177131,4482794,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Building our brand and business through more exposure and inbound leads.,comment
177131,4482796,firm_role,What is your primary role when working with this service provider?,Executive Sponsor,dropdown
179859,4553499,nps,How likely is it that you would recommend G2 Marketing Solutions to a friend or colleague?,10.0,slider_nps
179859,4553500,love,What do you like best about G2 Marketing Solutions?,The end to end service and process has been the highlight to my experience. Advocately has ensured our success by assisting us with implementing our review campaigns. They've consistently optimised our process to achieve our goals.,comment
179859,4553501,categories,For which purposes do you use G2 Marketing Solutions?,['Online Reputation Management'],categories
179859,4553502,company_size,What was your organization size when working with G2 Marketing Solutions?,51-200 employees,dropdown
179859,4553503,industry,What is your industry when using this product?,Information Services,dropdown
179859,4553504,hate,What do you dislike about G2 Marketing Solutions?,There is little that I dislike. Understanding exactly what each of the features means and the flow between them has been my only slight hindrance. ,comment
179859,4553505,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,We've been able to effectively scale our review processes by encouraging our promoters to share their experience on various review websites. Previously this was a very manual exercise to connect and remind our promoters that we'd love their support. Now with Adovately we can politely reach out and explain how they could really help with our growth success by leaving a review of their experience.,comment
179859,4553506,product_role,What is your primary role when using G2 Marketing Solutions?,Executive Sponsor,dropdown
179859,4553507,business_partner,Are you affiliated with the product you are reviewing or the company that makes it?,No,dropdown
179888,4554168,industry,What is your industry when using this product?,Internet,dropdown
179888,4554169,product_role,What is your primary role when using G2 Marketing Solutions?,Administrator,dropdown
179888,4554182,love,What do you like best about G2 Marketing Solutions?,"Advocately facilitates a continuous flow of great reviews of your product or service on the top review sites across the web. We have had excellent service and it is clear that Advocately is committed to getting the best results for their clients. They have a vision for this space that I have not seen before, and it is a welcome innovation. ",comment
179888,4554220,hate,What do you dislike about G2 Marketing Solutions?,"This is not a true dislike, but the success of Advocately for us depends on at least one other integrated service, which we fortunately already had in place.",comment
179888,4554221,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We are finally recognizing the value of having advocates for our product who thankfully already existed, but were not given the opportunity to act as advocates. Having this process be automated saves a significant amount of time vs. any alternative. It is also much more cost efficient than running separate campaigns with each individual review site.",comment
182325,4617304,company_size,What was your organization size when working with G2 Marketing Solutions?,11-50 employees,dropdown
182325,4617305,industry,What is your industry when using this product?,Accounting,dropdown
182325,4617394,love,What do you like best about G2 Marketing Solutions?,It works exactly as intended. Promoters get pro-active outreach for review requests in a way that is not over-the-top. The team at advocately have made themselves available at every step in the onboarding journey as well. Great service,comment
182325,4617395,hate,What do you dislike about G2 Marketing Solutions?,"Not much at this point, we just need to figure out how best to integrate it into our other systems, particularly for our Customer Success team to follow up on the passive and detractor comments. No doubt I'll get the help I'm looking for.",comment
182325,4617417,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"We went looking for a way to garner more reviews as they were severely lacking. We had cobbled together a fairly clunky and manual process and were going to roll it out. However, as soon as we found out about advocately, it all made sense. It's a well thought through workflow and it's very unobtrusive for our clients. ",comment
182489,4940494,love,What do you like best about G2 Marketing Solutions?,We were previously using engagement as a criteria for requesting a review (which we were doing manually). The blend of using NPS along with the automation Advocately provides means we are getting a higher volume of higher quality reviews for less work.,comment
182489,4940523,hate,What do you dislike about G2 Marketing Solutions?,Very little. The product is currently quite feature-light but the future is bright and loads of potential.,comment
182489,4940524,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Building an advocacy programme is hard. Advocately has had an immediate impact at a reasonable price point.,comment
183103,4637616,love,What do you like best about G2 Marketing Solutions?,"Getting reviews is an integral part of any (online) business these days but the process can be very time consuming and hard. With Advocately the entire process is automated which is a huge work load lifted. After the initial setup you just let the system do the work for you, the support is great and the product works like a charm. I can highly recommend Advocately to anyone who relies on reviews! ",comment
183103,4637620,hate,What do you dislike about G2 Marketing Solutions?,"Hard to come up with anything I dislike, if pressed I would say that it would be good to have a simple explainer video of 1 minute which would quickly show the value and functionality - in the beginning it is a bit hard to understand exactly what Advocately does :-) ",comment
183103,4637624,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,"Reviews are not just good for your online reputation but offer other benefits, like showing star ratings in your AdWords ads, as well. Getting these reviews is a part of any good digital marketing strategy but usually is very hard to get rolling, Advocately takes care of this process for you and saves you tons of time and effort. ",comment
183103,4637627,product_role,What is your primary role when using G2 Marketing Solutions?,User,dropdown
183130,4638376,industry,What is your industry when using this product?,Logistics and Supply Chain,dropdown
183130,4840337,love,What do you like best about G2 Marketing Solutions?,We are getting our promoters to write reviews online and refer their friends at an extremely high rate!  We can link the results from this back to revenue.,comment
183130,4840338,hate,What do you dislike about G2 Marketing Solutions?,Nothing right now.  I'm excited to see how the Advocately platform develops.,comment
183130,4840339,benefits,What problems is G2 Marketing Solutions solving and how is that benefiting you?,Our customers leave us awesome reviews and refer their friends.,comment
184048,4664192,love,What do you like best about G2 Marketing Solutions?,Advocately helped us reach out to our top promoters and helped build out our reviews across our different platforms.,comment
