title,rating,liked,disliked,text,predicted_categories
G2 helps market and customer validity,4.5,G2 has helped our customers publicly validate us to prospects and has helped us build pipeline and be considered for opportunities where we likely would not have been found otherwise. Also it has aided as a great validation point for customers in meetings and demo's as to our market profile and position.  It has helped us need less reference calls and enabled our customers to have a more open and valid place to voice their opinion on us.,Not a lot to dislike.  Be great as G2 becomes more recognised by a wider audience and gives the Gartners a run for their money.,G2 helps market and customer validity G2 has helped our customers publicly validate us to prospects and has helped us build pipeline and be considered for opportunities where we likely would not have been found otherwise. Also it has aided as a great validation point for customers in meetings and demo's as to our market profile and position.  It has helped us need less reference calls and enabled our customers to have a more open and valid place to voice their opinion on us. Not a lot to dislike.  Be great as G2 becomes more recognised by a wider audience and gives the Gartners a run for their money.,"['Customer Satisfaction','Product Benefits']"
Recommended for gaining visibility in B2B Marketing efforts,4.5,"It showcases a wide range of vendors with unbiased and helpful reviews for evaluating solutions within your organization. This helps companies accelerate their marketing efforts and sales cycles when shared effectively. 



The smart grid is also a really great way to show how your company is perceived in the market place.



Quarterly reports are very detailed and are helpful overviews for companies trying to evaluate vendors.","There aren't enough people open to reviewing products without an incentive. I still think that reviewers are honest and unbiased, but the volume is still much lower than you'd expect.","Recommended for gaining visibility in B2B Marketing efforts It showcases a wide range of vendors with unbiased and helpful reviews for evaluating solutions within your organization. This helps companies accelerate their marketing efforts and sales cycles when shared effectively. 



The smart grid is also a really great way to show how your company is perceived in the market place.



Quarterly reports are very detailed and are helpful overviews for companies trying to evaluate vendors. There aren't enough people open to reviewing products without an incentive. I still think that reviewers are honest and unbiased, but the volume is still much lower than you'd expect.",['Comparative Analysis and Customer Satisfaction']
Credibility,4.5,"Great way to build our brand in a new space, by leveraging user success. Also, Alex Pike did a great job of helping us understand the value of the platform when we first started.","So far so good, we are just starting to use additional features like the LinkedIn integration so can't evaluate that yet","Credibility Great way to build our brand in a new space, by leveraging user success. Also, Alex Pike did a great job of helping us understand the value of the platform when we first started. So far so good, we are just starting to use additional features like the LinkedIn integration so can't evaluate that yet",['- User Experience\n- Support Quality']
Advocately have been instrumental to our review strategy,5,The end to end service and process has been the highlight to my experience. Advocately has ensured our success by assisting us with implementing our review campaigns. They've consistently optimised our process to achieve our goals.,There is little that I dislike. Understanding exactly what each of the features means and the flow between them has been my only slight hindrance.,Advocately have been instrumental to our review strategy The end to end service and process has been the highlight to my experience. Advocately has ensured our success by assisting us with implementing our review campaigns. They've consistently optimised our process to achieve our goals. There is little that I dislike. Understanding exactly what each of the features means and the flow between them has been my only slight hindrance.,['Support Quality and User Experience']
Game Changer,5,"Advocately facilitates a continuous flow of great reviews of your product or service on the top review sites across the web. We have had excellent service and it is clear that Advocately is committed to getting the best results for their clients. They have a vision for this space that I have not seen before, and it is a welcome innovation.","This is not a true dislike, but the success of Advocately for us depends on at least one other integrated service, which we fortunately already had in place.","Game Changer Advocately facilitates a continuous flow of great reviews of your product or service on the top review sites across the web. We have had excellent service and it is clear that Advocately is committed to getting the best results for their clients. They have a vision for this space that I have not seen before, and it is a welcome innovation. This is not a true dislike, but the success of Advocately for us depends on at least one other integrated service, which we fortunately already had in place.",['Customer Satisfaction and Integration Capabilities']
Effortless review fetching,5,It works exactly as intended. Promoters get pro-active outreach for review requests in a way that is not over-the-top. The team at advocately have made themselves available at every step in the onboarding journey as well. Great service,"Not much at this point, we just need to figure out how best to integrate it into our other systems, particularly for our Customer Success team to follow up on the passive and detractor comments. No doubt I'll get the help I'm looking for.","Effortless review fetching It works exactly as intended. Promoters get pro-active outreach for review requests in a way that is not over-the-top. The team at advocately have made themselves available at every step in the onboarding journey as well. Great service Not much at this point, we just need to figure out how best to integrate it into our other systems, particularly for our Customer Success team to follow up on the passive and detractor comments. No doubt I'll get the help I'm looking for.",['1. User Experience\n2. Support Quality']
Great idea and good time saver,5,We were previously using engagement as a criteria for requesting a review (which we were doing manually). The blend of using NPS along with the automation Advocately provides means we are getting a higher volume of higher quality reviews for less work.,Very little. The product is currently quite feature-light but the future is bright and loads of potential.,Great idea and good time saver We were previously using engagement as a criteria for requesting a review (which we were doing manually). The blend of using NPS along with the automation Advocately provides means we are getting a higher volume of higher quality reviews for less work. Very little. The product is currently quite feature-light but the future is bright and loads of potential.,['Customer Satisfaction and Automation Capabilities']
"Automate your reviews, saves you tons of time, highly recommend!",5,"Getting reviews is an integral part of any (online) business these days but the process can be very time consuming and hard. With Advocately the entire process is automated which is a huge work load lifted. After the initial setup you just let the system do the work for you, the support is great and the product works like a charm. I can highly recommend Advocately to anyone who relies on reviews!","Hard to come up with anything I dislike, if pressed I would say that it would be good to have a simple explainer video of 1 minute which would quickly show the value and functionality - in the beginning it is a bit hard to understand exactly what Advocately does :-)","Automate your reviews, saves you tons of time, highly recommend! Getting reviews is an integral part of any (online) business these days but the process can be very time consuming and hard. With Advocately the entire process is automated which is a huge work load lifted. After the initial setup you just let the system do the work for you, the support is great and the product works like a charm. I can highly recommend Advocately to anyone who relies on reviews! Hard to come up with anything I dislike, if pressed I would say that it would be good to have a simple explainer video of 1 minute which would quickly show the value and functionality - in the beginning it is a bit hard to understand exactly what Advocately does :-)",['User Experience and Automation Capabilities']
I am an advocate for Advocately!,5,We are getting our promoters to write reviews online and refer their friends at an extremely high rate!  We can link the results from this back to revenue.,Nothing right now.  I'm excited to see how the Advocately platform develops.,I am an advocate for Advocately! We are getting our promoters to write reviews online and refer their friends at an extremely high rate!  We can link the results from this back to revenue. Nothing right now.  I'm excited to see how the Advocately platform develops.,['- Customer Satisfaction\n- Product Benefits']
NPS and more!,4.5,Advocately helped us reach out to our top promoters and helped build out our reviews across our different platforms.,"Advocately is still a very early product - not a ton on reporting yet, but we're excited to see where they're headed","NPS and more! Advocately helped us reach out to our top promoters and helped build out our reviews across our different platforms. Advocately is still a very early product - not a ton on reporting yet, but we're excited to see where they're headed",['- User Experience\n- Customer Satisfaction']
